x,kuiz1,kuiz2,delta,theta,alpha,beta,beta1,beta2,gamma,total
4.774,5.128703517667701e-10,8.456957000816138e-07,4.09709774355796e-10,1.116778935695184e-09,3.7971562858147893e-06,1.0738477906477188e-08,7.28667338310607e-09,3.451804523371121e-09,1.4453782927950984e-09,3.8112029615708025e-06
5.024,5.587360726352603e-10,7.932808715939165e-07,5.738443075922109e-10,8.109452569399264e-10,3.52229802352736e-06,9.56995275153359e-09,6.777890591890246e-09,2.792062159643345e-09,1.347254126165199e-09,3.5348142917015697e-06
5.274,4.722589237417586e-10,7.491451257640781e-07,7.440443960314938e-10,5.438310863401744e-10,3.1170812235683675e-06,9.072603732077537e-09,6.5184434662930815e-09,2.554160265784457e-09,1.299927453247123e-09,3.1288719613949097e-06
5.524,3.1054512158645477e-10,7.000568608904808e-07,6.943557717527339e-10,6.174404275782117e-10,2.838149022004569e-06,9.554537674472073e-09,7.003306500211804e-09,2.5512311742602694e-09,1.3086621269846232e-09,2.850506935415328e-06
5.774,1.8849557148990269e-10,6.61035628849056e-07,3.8809428072059957e-10,8.132708239454277e-10,2.5887297145780097e-06,1.1155453257894207e-08,8.609538263977936e-09,2.5459149939162718e-09,1.2454673877894123e-09,2.6028761316058594e-06
6.024,1.694559176862659e-10,6.328745096343518e-07,2.374227254753376e-10,9.108535871290564e-10,2.279163941402677e-06,1.2876124127231024e-08,1.042955372346662e-08,2.4465704037643975e-09,1.1784415743527308e-09,2.2951228173439415e-06
6.274,2.0773943473763637e-10,5.709955620953074e-07,2.462555211282174e-10,1.3450040816279611e-09,2.1938717292705755e-06,1.444578347405914e-08,1.1824128933760326e-08,2.6216545402988156e-09,1.2196917687578723e-09,2.2116029483600286e-06
6.524,3.7774528833002095e-10,4.527768725733173e-07,2.4817765226000104e-10,2.4092510246993807e-09,2.6629928950145164e-06,1.5950870957902023e-08,1.2226111181641554e-08,3.7247597762604766e-09,1.3018128819686742e-09,2.683020500712405e-06
6.774,6.397685453450944e-10,2.803413751371305e-07,1.4457304976833937e-10,3.710774341592414e-09,3.483425851012999e-06,1.5056394121074885e-08,9.674140831840178e-09,5.3822532892347095e-09,1.2585959905310891e-09,3.5037460204832146e-06
7.024,7.007756787356399e-10,1.1105773539562728e-07,1.7373177033599162e-10,4.9771037653581976e-09,4.134079989306139e-06,1.4235778227814699e-08,7.30192517855287e-09,6.933853049261828e-09,1.1004797510598254e-09,4.15475546882569e-06
7.274,4.995958443993246e-10,2.4824499907120867e-08,2.636272829419451e-10,5.239957542562844e-09,4.425802125634119e-06,1.5468580126064833e-08,6.437483113527515e-09,9.031097012537321e-09,1.0117572885281187e-09,4.447968759709012e-06
7.524,3.0285987250676957e-10,1.1922552017794592e-08,3.242906376427919e-10,4.876924053218155e-09,4.61746004490153e-06,1.9582471591408192e-08,6.979480614979749e-09,1.260299097642844e-08,1.1369296502101657e-09,4.643660096306489e-06
7.774,5.365481084173196e-10,1.997203050085275e-08,5.666061296106349e-10,3.705282834881472e-09,4.93644330715565e-06,2.4783447192677216e-08,7.4424877339116015e-09,1.7340959458765617e-08,1.501218453934977e-09,4.96720304955579e-06
8.024,1.1464998309894734e-09,2.8967407605216457e-08,8.543013277865147e-10,4.219652541036963e-09,5.334555103257726e-06,3.02699879121622e-08,7.3775609722273785e-09,2.2892426939934824e-08,1.905656661701933e-09,5.372059122576529e-06
8.274,1.9262593954833545e-09,2.200474549077526e-08,1.2691305642718452e-09,5.826489980245727e-09,5.6333130264551315e-06,3.7131424454804044e-08,1.0134773842066771e-08,2.699665061273727e-08,2.0117016633590377e-09,5.679687009896576e-06
8.524,2.2580547542885228e-09,1.3212469158281998e-08,1.6214091727412996e-09,8.826098420038276e-09,5.809887354279107e-06,4.424526121482266e-08,2.0274238578047153e-08,2.3971022636775518e-08,1.7876591682354468e-09,5.866697883742338e-06
8.774,1.8447411034953095e-09,1.5572117034526327e-08,1.5981299450602847e-09,1.0068091154635846e-08,6.101742000153746e-06,5.470770309982332e-08,4.010626830570351e-08,1.460143479411982e-08,1.5453563818052087e-09,6.170464156373345e-06
9.024,1.5827624084257535e-09,1.712348337784362e-08,2.0340236002075573e-09,7.360212644887053e-08,6.640907776025749e-06,8.237016521954457e-08,7.433232344588769e-08,8.037841773656885e-09,1.379971367053164e-09,6.800436142245163e-06
9.274,6.573449797279333e-08,5.042435809569888e-08,2.6354933965938673e-08,8.226567605732428e-07,7.0995237176980135e-06,1.8329253813885577e-07,1.7682298709731884e-07,6.469551041536918e-09,1.3340335967675584e-09,8.14587916607385e-06
9.524,9.050580909121278e-07,2.2870770398609518e-07,1.9455761887004086e-07,3.850749376452875e-06,6.734254455134833e-06,4.0899224313699243e-07,4.001712344875317e-07,8.821008649460655e-09,1.774020145331623e-09,1.1297836095590406e-05
9.774,4.483650298601858e-06,5.641556400181833e-07,5.896106156825674e-07,1.0169282461810217e-05,5.449437026019059e-06,7.636920674428444e-07,7.480831507000482e-07,1.560891674279593e-08,2.7792689003185064e-09,1.727825555465684e-05
10.024,1.1986427494167507e-05,1.0068971691422052e-06,9.524473431710542e-07,1.828501005320077e-05,4.126235557623267e-06,1.1854125233394833e-06,1.1622199743472247e-06,2.319254899225932e-08,3.6920984691921958e-09,2.4917287008094325e-05
10.274,2.1025311770382354e-05,1.4054789627543968e-06,8.735828097766899e-07,2.5329486658088574e-05,3.4688418798164408e-06,1.5423583713269714e-06,1.515153339676345e-06,2.7205031650626575e-08,3.77826089654569e-09,3.139845915532757e-05
10.524,2.7475593674805365e-05,1.6090125110778795e-06,4.4137758671221127e-07,2.9722038949363765e-05,3.328591193191046e-06,1.7610362556086322e-06,1.7329563962742093e-06,2.8079859334422685e-08,3.288540436619996e-09,3.528123965892705e-05
10.774,3.0308527309699718e-05,1.6604776209286922e-06,1.7367354668285739e-07,3.19827497039874e-05,3.28876587948441e-06,1.8428800193618756e-06,1.8153030109149871e-06,2.7577008446888838e-08,3.077200913537213e-09,3.7291950478508324e-05
11.024,3.19578134093238e-05,1.6559127380292285e-06,2.218471415175337e-07,3.33946948962711e-05,3.291891379149687e-06,1.8535352812275589e-06,1.8265005443088077e-06,2.7034736918750928e-08,3.439663492340648e-09,3.876710220734562e-05
11.274,3.363484997474094e-05,1.6392404160001465e-06,4.363327496431241e-07,3.45286178438453e-05,3.335180218653283e-06,1.8597832121712409e-06,1.8325739763420631e-06,2.7209235829178172e-08,3.890583487122749e-09,4.016567013202035e-05
11.524,3.49628795131914e-05,1.6412183928648756e-06,6.892157108573149e-07,3.5267461487803944e-05,3.369581337637205e-06,1.8887472243053401e-06,1.860237808552456e-06,2.8509415752884094e-08,4.139397482647242e-09,4.12204129150039e-05
11.774,3.578520452230221e-05,1.6554833531213128e-06,9.286457219002264e-07,3.553534932150962e-05,3.361838343989072e-06,1.922750746002471e-06,1.8931998434110728e-06,2.9550902591397732e-08,4.3167313457341074e-09,4.175314924335288e-05
12.024,3.6553746767099276e-05,1.652725334119564e-06,1.2182345690614431e-06,3.574470719075528e-05,3.345724156338147e-06,1.9281011807503156e-06,1.8982961377492108e-06,2.980504300110474e-08,4.681005430321714e-09,4.224226251593936e-05
12.274,3.791250114475394e-05,1.631775910460084e-06,1.7046261712863292e-06,3.64658209819655e-05,3.4140799052028054e-06,1.919312567395549e-06,1.888588370125566e-06,3.072419726998342e-08,5.376581928021472e-09,4.351157811335743e-05
12.524,3.968604527534951e-05,1.5995764037058677e-06,2.36695651805097e-06,3.75598751451776e-05,3.608210456690741e-06,1.9136008375806108e-06,1.8817388181626753e-06,3.186201941793528e-08,6.199743372851382e-09,4.545934099463939e-05
12.774,4.1085007466510283e-05,1.540513726903578e-06,3.195130614663294e-06,3.8114386187390146e-05,3.865301708731961e-06,1.8825388985328486e-06,1.851812370658648e-06,3.072652787420111e-08,7.030333061536016e-09,4.706906966252861e-05
13.024,4.1603610471144496e-05,1.4641449395002438e-06,4.034630062731689e-06,3.7672094820051504e-05,4.036229922955876e-06,1.8111586144463056e-06,1.7842935112232888e-06,2.6865103223016488e-08,7.808471661084627e-09,4.75655572694683e-05
13.274,4.1442841996585655e-05,1.4057895443045042e-06,4.341608781048667e-06,3.713859030587987e-05,3.9918469646548625e-06,1.7442626487071853e-06,1.7203078226560148e-06,2.395482605117048e-08,8.243516340548345e-09,4.722690768020501e-05
13.524,4.1272311131634054e-05,1.3805164869632618e-06,4.068665732707656e-06,3.729786181352661e-05,3.8041981056914514e-06,1.7260868797632434e-06,1.7015282978445047e-06,2.4558581918738677e-08,7.92058644743264e-09,4.6908040008465e-05
13.774,4.163346067288916e-05,1.3753409794443434e-06,4.095004716299156e-06,3.7668114291818745e-05,3.7542083739060044e-06,1.7207630006635331e-06,1.694362517780593e-06,2.6400482882939977e-08,7.370227100453422e-09,4.725252653786942e-05
14.024,4.259915241718814e-05,1.3716162682537195e-06,4.957795464352612e-06,3.771945024388676e-05,3.968164274690112e-06,1.6879655376142609e-06,1.6612518523716939e-06,2.6713685242566687e-08,7.680920264823081e-09,4.834800075590544e-05
14.274,4.379478382863496e-05,1.354481472568118e-06,5.932898154154056e-06,3.789326972036935e-05,4.240795303893134e-06,1.6446076101356417e-06,1.6181597019448691e-06,2.6447908190772675e-08,8.526776708668741e-09,4.972215032826798e-05
14.524,4.47600817629419e-05,1.311013437868396e-06,6.818526326353123e-06,3.802917417832818e-05,4.466700746880229e-06,1.5739703051434565e-06,1.5456956383981914e-06,2.8274666745265462e-08,8.950672106537584e-09,5.089879631601107e-05
14.774,4.51889242760432e-05,1.2466792011601095e-06,8.443707560949444e-06,3.6956880461759825e-05,4.7857600446908234e-06,1.412458060332492e-06,1.380285356330161e-06,3.217270400233125e-08,8.852440540841793e-09,5.1612266274366664e-05
15.024,4.520129202365495e-05,1.1870699408356497e-06,1.0764083799479736e-05,3.4723873438979034e-05,5.19499418784274e-06,1.191153482049926e-06,1.15559457305793e-06,3.555890899199567e-08,8.396768956344368e-09,5.1884501701369874e-05
15.274,4.5391226215694105e-05,1.1548819461398823e-06,1.2582278412974848e-05,3.3028425165632955e-05,5.504497096300623e-06,1.03500109474423e-06,9.97937727900609e-07,3.706336684362133e-08,7.800092963912257e-09,5.21585420190067e-05
15.524,4.595442280836976e-05,1.1397136700180608e-06,1.3330003740107668e-05,3.272256648463872e-05,5.620047041535608e-06,9.856272009911922e-07,9.484742858329327e-07,3.7152915158259515e-08,7.543306039380908e-09,5.266814233342748e-05
15.774,4.629199091635695e-05,1.111565718186978e-06,1.387314717229685e-05,3.249587085060567e-05,5.640596823348106e-06,9.487614883676942e-07,9.10277945263642e-07,3.84835431040523e-08,7.219079560656896e-09,5.2966550095770246e-05
16.024,4.615248425039431e-05,1.0654831019554026e-06,1.534196747820925e-05,3.102065964289602e-05,5.6728305093488985e-06,8.535486319681278e-07,8.100559483963558e-07,4.3492683571772054e-08,6.055841324077234e-09,5.289536972990889e-05
16.274,4.611051057248838e-05,1.0245483673093024e-06,1.7679155747375257e-05,2.890569196190749e-05,5.739110128833169e-06,7.521018577408774e-07,7.000706055958089e-07,5.2031252145068195e-08,4.916183845190317e-09,5.308301369185413e-05
16.524,4.653217433820631e-05,1.0000947344424747e-06,1.9847123659524916e-05,2.7349232236225163e-05,5.8529966479825285e-06,7.080160034959543e-07,6.48819074487356e-07,5.919692900859837e-08,4.449782250359532e-09,5.3763360258873216e-05
16.774,4.700153232010858e-05,9.851485670771727e-07,2.1345839903672738e-05,2.64111668814735e-05,5.936969377548713e-06,6.980969547864355e-07,6.349903743768972e-07,6.310658040953832e-08,4.0516415146464515e-09,5.439622470533484e-05
17.024,4.728457912324974e-05,9.627316512743521e-07,2.263949889466849e-05,2.5592257804398257e-05,5.900939438255978e-06,6.792802947712883e-07,6.108789789027074e-07,6.840131586858077e-08,3.811416562121601e-09,5.4816300251564454e-05
17.274,4.790282455234875e-05,9.28363535268813e-07,2.382299278535958e-05,2.5241742680862045e-05,5.833399276130842e-06,6.58987279416564e-07,5.823343053672119e-07,7.665297404935202e-08,3.762906615436032e-09,5.556125112039595e-05
17.524,4.918742842652726e-05,8.906316995706722e-07,2.4887189943307072e-05,2.551932389982581e-05,5.8198999845176234e-06,6.629679307910256e-07,5.803082191616091e-07,8.265971162941659e-08,3.6703530716427895e-09,5.6894046321672044e-05
17.774,5.042030121164378e-05,8.588039837623168e-07,2.6426347787775346e-05,2.5436940853404813e-05,5.722824725196019e-06,6.751569165676291e-07,5.910900316381158e-07,8.406688492951337e-08,3.864593276907027e-09,5.8267532703978554e-05
18.024,5.0990407316665996e-05,8.372651717219722e-07,2.8770238368444426e-05,2.423336382147966e-05,5.4332775775366085e-06,6.880180901159703e-07,6.031488678961396e-07,8.486922221983087e-08,4.509616636499441e-09,5.913032472223902e-05
18.274,5.123833704240919e-05,8.10242078738262e-07,3.136425822983171e-05,2.2471934425878954e-05,5.00644090070643e-06,7.066064866260599e-07,6.197066655245184e-07,8.689982110154133e-08,5.201731645170196e-09,5.9555728383871225e-05
18.524,5.148279757100343e-05,7.564245451632624e-07,3.3645354798264486e-05,2.1040521015032467e-05,4.551225940064664e-06,7.268719303139721e-07,6.379389683175402e-07,8.893296199643206e-08,5.681409930951948e-09,5.997213748923227e-05
18.774,5.1875956171022195e-05,6.89458541064413e-07,3.5682263766975934e-05,2.008847413195352e-05,4.124755993001433e-06,7.443557619284138e-07,6.53734876268952e-07,9.062088565946185e-08,5.9377277007957345e-09,6.064654127374514e-05
19.024,5.238383058157636e-05,6.445787882551773e-07,3.777836874064648e-05,1.929215520866526e-05,3.6412001465678766e-06,7.56655530057913e-07,6.689456229663301e-07,8.770990709158278e-08,6.08619206760423e-09,6.147477601278383e-05
19.274,5.25712934506519e-05,6.29307325730173e-07,4.002718566885143e-05,1.824144345073258e-05,2.9991445589548927e-06,7.590870119048379e-07,6.847321906487303e-07,7.435482125610771e-08,6.5026957564994395e-09,6.203506978768549e-05
19.524,5.230386400080239e-05,6.129848552021349e-07,4.2028735054208694e-05,1.69634408548085e-05,2.360229836523146e-06,7.477055223272613e-07,6.919422166004924e-07,5.576330572676877e-08,7.0896346821170495e-09,6.210876776758613e-05
19.774,5.207125916224889e-05,5.84650693366312e-07,4.315710744785965e-05,1.614770780799388e-05,1.9926497816831522e-06,7.287740306910838e-07,6.847262385618706e-07,4.404779212921337e-08,7.379285025404361e-09,6.203412569679292e-05
20.024,5.210849386115146e-05,5.636208040046824e-07,4.387333206821639e-05,1.573945940848994e-05,1.8155072489559748e-06,7.19481175364846e-07,6.793732166118829e-07,4.010795875296278e-08,7.41346947636127e-09,6.215639050381099e-05
20.274,5.231504624465388e-05,5.512208336238466e-07,4.512323438580982e-05,1.5136041477893552e-05,1.5693155555563013e-06,7.398137096966038e-07,7.03287639645243e-07,3.652607005136083e-08,7.709816848414433e-09,6.25771737368966e-05
20.524,5.296511356808755e-05,5.336991296059869e-07,4.6545669597158064e-05,1.477167135140685e-05,1.3494588036780676e-06,7.751938753529697e-07,7.410283389186914e-07,3.41655364342782e-08,7.869270455310649e-09,6.345002175606342e-05
20.774,5.417176218924083e-05,5.149645906562297e-07,4.7612697389018676e-05,1.5022879498422527e-05,1.2617830038282163e-06,7.892892406051053e-07,7.541029873456916e-07,3.518625325941382e-08,7.621926213598995e-09,6.469619753043482e-05
21.024,5.5105540427187656e-05,5.165516499160103e-07,4.8812340290391154e-05,1.4946554611666367e-05,1.1174214693622846e-06,7.780335736525814e-07,7.443275823338791e-07,3.3705991318702444e-08,7.762742659005742e-09,6.566520547055302e-05
21.274,5.51683948453453e-05,5.440578909000155e-07,5.016690211007629e-05,1.4161977060864999e-05,8.723314331969501e-07,7.652198746409772e-07,7.373168079568802e-07,2.790306668409689e-08,8.777236610178422e-09,6.59761227415449e-05
21.524,5.489852064690054e-05,5.788205962564525e-07,5.109050721692116e-05,1.3550195307337246e-05,6.956498672367711e-07,7.603235465013565e-07,7.371225430057145e-07,2.320100349564187e-08,9.608326945276675e-09,6.61076692479462e-05
21.774,5.489116308150838e-05,6.085836470607795e-07,5.177174070926216e-05,1.3338360770339648e-05,6.064846401772984e-07,7.669978381656531e-07,7.43224595535177e-07,2.3773242630476138e-08,8.822312095963018e-09,6.649371306292342e-05
22.024,5.5148130605442674e-05,6.346705340074402e-07,5.2728369432544066e-05,1.3052445958039212e-05,5.181938688158924e-07,7.966266938303273e-07,7.687636068905363e-07,2.7863086939790877e-08,6.7186117632113275e-09,6.710245985217283e-05
22.274,5.556589553998559e-05,6.458535732088859e-07,5.3628731715063834e-05,1.2933215523763044e-05,4.548957864030586e-07,8.360560446064171e-07,8.038759387887682e-07,3.218010581764875e-08,5.289485905772472e-09,6.785855144612674e-05
22.524,5.603830546807964e-05,6.33204037187968e-07,5.417151631583459e-05,1.3090436529113585e-05,4.46581253804291e-07,8.47338205895466e-07,8.115406432342437e-07,3.579756266122242e-08,5.068933239459756e-09,6.856174780289743e-05
22.774,5.6157485309531526e-05,6.248068970282518e-07,5.449759649143867e-05,1.299231284886333e-05,4.515231853521702e-07,8.27587359366417e-07,7.89805504949154e-07,3.778185441726313e-08,4.791788978185139e-09,6.877454695391711e-05
23.024,5.5754100515491474e-05,6.405084394453158e-07,5.449541634069556e-05,1.266536358296789e-05,4.3349893439342797e-07,8.111192416877061e-07,7.738724475521112e-07,3.7246794135594936e-08,4.349076304329022e-09,6.84099957867836e-05
23.274,5.511657193746296e-05,6.462905024728514e-07,5.4127508004579584e-05,1.249030204391729e-05,4.0782415136750804e-07,8.083737663525336e-07,7.72589867159972e-07,3.578389919256159e-08,4.727060362127783e-09,6.783923808959956e-05
23.524,5.447929697670236e-05,6.163657022735896e-07,5.379226196568513e-05,1.239516421484853e-05,4.1141852796418567e-07,8.057691049080218e-07,7.680290610963763e-07,3.774004381164549e-08,5.7144933100254365e-09,6.74112922476328e-05
23.774,5.4318800402618435e-05,5.73749809924072e-07,5.3983378480542264e-05,1.237581184986923e-05,4.3382567313610834e-07,8.059687613637207e-07,7.628850659220934e-07,4.3083695441627185e-08,6.178111601512214e-09,6.760532590391239e-05
24.024,5.5109354353712447e-05,5.528837211102671e-07,5.49328149401396e-05,1.2580591194484987e-05,4.431659737986669e-07,8.184544459363697e-07,7.713044365621162e-07,4.7150009374253535e-08,6.2230638753142805e-09,6.87840451789918e-05
24.274,5.666874865267005e-05,5.549271875096684e-07,5.641748248803579e-05,1.2851744088675083e-05,4.4662076144103594e-07,8.331653828470484e-07,7.852410235494007e-07,4.792435929764768e-08,6.3666848476058346e-09,7.055804277106342e-05
24.524,5.799535289301679e-05,5.43018936860443e-07,5.7650889442042606e-05,1.3100314262487566e-05,4.767192188644862e-07,8.301521294464948e-07,7.825641804623613e-07,4.7587948984133514e-08,6.529170652528902e-09,7.206615911257359e-05
24.774,5.8472038899283045e-05,5.042022163717558e-07,5.8198965809840436e-05,1.3423097351100097e-05,5.47641801989031e-07,8.104726562088761e-07,7.623407236375551e-07,4.813193257132078e-08,6.887620619469954e-09,7.298821976478272e-05
25.024,5.8328341775196694e-05,4.6510796488636576e-07,5.8214612057953116e-05,1.382718663099038e-05,5.981586504227588e-07,7.823985474944654e-07,7.340452650384986e-07,4.835328245596699e-08,7.553203977467055e-09,7.343030086920284e-05
25.274,5.7845921841701585e-05,4.422701704001453e-07,5.780504649930616e-05,1.404023811431253e-05,5.840278837611702e-07,7.506675223845613e-07,7.029560705636748e-07,4.771145182088673e-08,7.985250966029751e-09,7.318848296449381e-05
25.524,5.719142380971605e-05,4.271361954037436e-07,5.716617238610785e-05,1.392299459477167e-05,5.550405761409542e-07,7.24467093330765e-07,6.764527655126074e-07,4.801432781815743e-08,7.847358871131053e-09,7.237685106216058e-05
25.774,5.6708138145832684e-05,4.131661283551449e-07,5.6698454657289714e-05,1.3917823076115892e-05,5.447794189222542e-07,7.147934863270218e-07,6.637549874054154e-07,5.103849892160652e-08,7.516566307157807e-09,7.18851176346156e-05
26.024,5.6639440846407364e-05,3.9806154880925703e-07,5.6634914375568114e-05,1.4258169814318328e-05,5.648464573482933e-07,7.188427365077972e-07,6.63003162573608e-07,5.583957393418944e-08,7.412660623471384e-09,7.218543338997845e-05
26.274,5.659818010311012e-05,3.7490401849545103e-07,5.659341961874967e-05,1.4598238052486541e-05,6.135638775490288e-07,7.14510490038753e-07,6.540257798750062e-07,6.048471016374695e-08,7.267552509991591e-09,7.252738039521264e-05
26.524,5.5955236934657524e-05,3.428647981778794e-07,5.5952673643579696e-05,1.4749799038117414e-05,6.906872861061312e-07,6.881364561768304e-07,6.254567254936787e-07,6.267973068315194e-08,6.376887176858752e-09,7.208961363915794e-05
26.774,5.4832046405308015e-05,3.10899556739106e-07,5.473837314970903e-05,1.5032861871247222e-05,7.95347944766921e-07,6.464921412067293e-07,5.86802038453079e-07,5.969010275365045e-08,4.865963522200511e-09,7.121963019406563e-05
27.024,5.4266394505597656e-05,2.938328271634164e-07,5.406069086513469e-05,1.547652255610944e-05,8.73969951972042e-07,6.097836358576219e-07,5.554791436307023e-07,5.4304492226919523e-08,4.0261595655584024e-09,7.102807628262452e-05
27.274,5.4928126395733926e-05,2.8739217923982176e-07,5.4780162557128186e-05,1.5674421154446444e-05,8.960308021036529e-07,5.956562070094015e-07,5.438285388029351e-07,5.182766820646619e-08,4.435357931716394e-09,7.195490903127923e-05
27.524,5.599769408128841e-05,2.7896766576800685e-07,5.599030218226767e-05,1.5743421400882926e-05,8.986740423516541e-07,5.955794510913855e-07,5.452601626662958e-07,5.0319288425089786e-08,5.093846383866098e-09,7.323510741542992e-05
27.774,5.650414430086057e-05,2.5672039970511147e-07,5.645672588666305e-05,1.6095668058523483e-05,9.803340653452883e-07,5.829744737324972e-07,5.383776334955542e-07,4.459684023694259e-08,5.076277455762876e-09,7.412164026623846e-05
28.024,5.669225613738033e-05,2.249728152470728e-07,5.661836670489768e-05,1.6522676966046112e-05,1.1110530877378972e-06,5.449588412457037e-07,5.087930594857395e-07,3.616578175996415e-08,4.442995446604188e-09,7.480366761762813e-05
28.274,5.720590386368451e-05,2.014824724039968e-07,5.716876400713352e-05,1.6719194086560873e-05,1.1854869923239483e-06,5.056137484664246e-07,4.742671296977084e-07,3.134661876871637e-08,3.824359896905277e-09,7.558687101413699e-05
28.524,5.794665191266258e-05,2.0092407312168005e-07,5.789994671217059e-05,1.6758180557219174e-05,1.1950092614149593e-06,4.909738995355391e-07,4.58196495125511e-07,3.277740441002795e-08,3.796877002158593e-09,7.634854508327932e-05
28.774,5.83753560195088e-05,2.1648530772532426e-07,5.8374825896653124e-05,1.687156407214813e-05,1.2267219147344827e-06,4.984586572191286e-07,4.6085935327016237e-07,3.7599303948966175e-08,4.1747728870014636e-09,7.697621326107279e-05
29.024,5.80207776142904e-05,2.2168400742393055e-07,5.804926869033777e-05,1.727566763917777e-05,1.3193507064765682e-06,5.033587049962177e-07,4.633195484382891e-07,4.0039156557928653e-08,4.703950281386501e-09,7.715523384817826e-05
29.274,5.692314035260777e-05,2.0048737216581497e-07,5.689624400318591e-05,1.78088803711144e-05,1.4318064934109428e-06,4.987213680915813e-07,4.6161361188701305e-07,3.7107756204568044e-08,5.8154758956832444e-09,7.664206160203253e-05
29.524,5.607491064343474e-05,1.6798817198387106e-07,5.6037226518806885e-05,1.8185679185542354e-05,1.5427570591428968e-06,4.899673525819798e-07,4.578287212475393e-07,3.213863133444069e-08,7.463482646833476e-09,7.627014351881901e-05
29.774,5.643635834897365e-05,1.426710608611714e-07,5.6419292287470895e-05,1.8484147908792305e-05,1.641663046696362e-06,4.801352909426286e-07,4.498256537550899e-07,3.030963718753869e-08,8.660500783905383e-09,7.703770906320536e-05
30.024,5.722319521654372e-05,1.3249258213900728e-07,5.7219599428936455e-05,1.884091271664488e-05,1.737081028790846e-06,4.7657251944523886e-07,4.439720133936293e-07,3.260050605160961e-08,8.589341665954889e-09,7.828853693132616e-05
30.274,5.733545219976916e-05,1.4137237111152615e-07,5.72576111614795e-05,1.9181505060883366e-05,1.80316830116254e-06,4.818705686990013e-07,4.4611718914172274e-07,3.575337955727857e-08,7.870602454491198e-09,7.873975403940698e-05
